Job (Long),AD,Email,ShoreTel,Cell,Fax,Desktop,Laptop,List of Members
Agriculture Field Representative Manager,x,x,x,x, ,"[""Material Review Board"", ""Concur Business Meals"", ""Performance Reviews Training-Supervisors"", ""Corporate Managers"", ""MBR"", ""ADC-PROC Approver Corp"", ""Sourcing Managers"", ""Goals Training Sessions-Supervisors"", ""ADC-Corp Editor"", ""Smartsheet_Licensed"", ""Store-QA Raw Materials Supplier QA Supplier Visits RW"", ""GoogleAppsEA"", ""Quintiq-Observer"", ""ADC-ENG PKG Specs Notify"", ""TNP Info Distribution"", ""Sourcing-Agricultural"", ""QA Special Handling-Pocatello"", ""Store-Projects Equipment Project for FM Reduction RW"", ""Concur Users"", ""Store-QA"", ""Packaging Specification Notification"", ""QA Frozen Report-Northpoint"", ""Material Shortages-Medford"", ""Ingredient Steering Committee"", ""New Item Number Notification"", ""Requisition"", ""Store-Database Punch Detail RO"", ""Managerial staff"", ""Material Shortages-Northpoint"", ""Schedule Approval"", ""Store-Organic Agriculture"", ""Store-Sourcing"", ""Store-QA Share with Purchasing RW"", ""Store-Projects Tech Services RW"", ""Store-UK Supply Chain Management"", ""QA Special Handling-Northpoint"", ""Store-Projects Raw Material Improvement"", ""QA Medford"", ""QA Special Handling-Medford"", ""Sourcing"", ""Staff-Dutton"", ""Staff-Remote"", ""Store-Potato Team"", ""Material Planning""]"
Agriculture Mgr,x,x, , , ,[]
Agriculture Sourcing Manager,x,x,x, , ,"[""GoogleAppsLegalHold""]"
Amy's Drive Thru Press,x,x, , , ,"[""GoogleAppsEA""]"
Applications Architect~,x,x,x, , ,"[""GoogleApps_InformationTechnology_Department"", ""Goals Training Sessions"", ""Global Protect VPN User"", ""FS_ITAppsTeam_Nofity"", ""PMP"", ""PMPUsers"", ""GADS"", ""DachaProdTest"", ""MESAdmins"", ""Quintiq-Frozen Sup"", ""DachaLabor"", ""DachaWarehouse"", ""Dynamics Team"", ""Concur Users"", ""DAX-Startup Team"", ""DAX-Functional Area Leaders"", ""Enterprise Applications Team"", ""GMP Tip"", ""Store-Production Medford"", ""Store-Projects-Genesis"", ""Oracle Team"", ""Store-Training EBS"", ""Managerial staff"", ""Store-Projects 3000 Dutton R-W"", ""Store-Projects Scanning"", ""Warehouse Offices-Medford"", ""Store-Projects-erp"", ""Information Technology Department"", ""Store-Image Silo"", ""Staff-Medford"", ""IS App Log"", ""Store-Projects-APP Project Planning"", ""YODA"", ""BaseAccess"", ""ManufacturingBasic"", ""Store-Information Services"", ""Information-Services-Dept-Group"", ""IS Developers""]"
Apprentice,x,x,x,x,x,"[""EMU"", ""Goals Training Sessions"", ""GoogleAppsLegalHold"", ""Turtle"", ""Smartsheet_Licensed"", ""Leadership Group"", ""Team Grande"", ""Staff-Northpoint Corporate"", ""Concur Users""]"
Area Sales Manager,x,x,x,x,x,"[""Concur Business Meals"", ""Goals Training Sessions"", ""GoogleAppsEA"", ""Concur Users"", ""Store-Projects Price Lists RO"", ""TurnLink User Group"", ""Store-Outside Sales"", ""Store-Sales Mailing List Database RW"", ""Store-Accounting MCB Approvals RW"", ""Outside Sales"", ""Staff-Remote"", ""Corporate Managers"", ""Goals Training Sessions-Supervisors""]"
Assistant Buyer,x,x,x,x,x,"[""Goals Training Sessions"", ""GoogleAppsLegalHold"", ""Smartsheet_Licensed"", ""Store-QA Raw Materials Supplier QA Supplier Visits RW"", ""Quintiq-Material Planner"", ""ADC-ENG PKG Specs Notify"", ""Sourcing-Agricultural"", ""Quintiq-Frozen Sup"", ""Store-QA Vendor Forms Archive Read Only"", ""Store-QA Vendor Forms Document Maint R-W"", ""Change Notification (Recipe)"", ""Bull"", ""Store-Projects Packaging Dev RW"", ""Packaging Specification Notification"", ""Material Shortages-Medford"", ""Ingredient Steering Committee"", ""New Item Number Notification"", ""Store-Projects-Genesis"", ""Store-Projects Packaging Dev RO"", ""Store-Training EBS"", ""Material Shortages-Northpoint"", ""Schedule Approval"", ""Store-Organic Agriculture"", ""Store-Projects 3000 Dutton R-W"", ""Store-Sourcing"", ""Store-QA Share with Purchasing RW"", ""Store-Projects Tech Services RW"", ""Ingredient Supplier Changes"", ""Store-Purchasing Vendor Book Doc RW"", ""vendorAdmin"", ""Sourcing"", ""Staff-Dutton"", ""Staff-Remote"", ""Planning"", ""Material Planning"", ""Smartsheet_Unlicensed"", ""Quintiq-MRP"", ""GoogleAppsEA"", ""TNP Info Distribution"", ""Sourcing-DryGoods"", ""Concur Users"", ""GMP Tip"", ""vendorEditor"", ""Dynamics Prod Users"", ""ADC-Plant Editor Pocatello"", ""Leadership-Pocatello"", ""GoogleApps"", ""GADS"", ""Sourcing-Packaging"", ""Staff-Pocatello"", ""Store-Marketing Product Images & Packaging RW"", ""Dynamics Team"", ""capitalprojectsReader"", ""RM Hold Notification"", ""IDMG-Indirect Materials"", ""warehouseEditor"", ""purchasingEditor"", ""manufacturingReader"", ""manufacturingebsReader"", ""Staff-Medford"", ""PET Tray Project"", ""ADC-Corp Editor"", ""Store-Projects New Products RW""]"
Assistant Supervisor - Warehouse,x,x,x,x, ,"[""Positive Release-Santa Rosa"", ""GROUP-Warehouse Management Northpoint"", ""GoogleAppsEA"", ""PT Weekly Schedule"", ""Material Receipt Group"", ""Accident Reporting-Santa Rosa"", ""Store-Warehouse"", ""Requisition"", ""Warehouse Management-Northpoint"", ""Material Shortages-Northpoint"", ""Plant Trial Distribution-Northpoint"", ""Staff-Sutton"", ""Warehouse Administrators-Northpoint"", ""Warehouse"", ""Forklift Maintenance Request-Northpoint"", ""Vehicle Management System"", ""UNFI Distribution Group"", ""GROUP-Warehouse-Medford"", ""Cycle Count-Medford"", ""Smartsheet_Unlicensed"", ""Concur Users"", ""Material Shortages-Medford"", ""Store-Production Medford Leftover Log"", ""Expiration-Medford"", ""New Item Number Notification"", ""Store-Maintenance"", ""Materials Exception List-Medford"", ""Accident Reporting-Medford"", ""Warehouse 349"", ""Store-Warehouse Medford Transporation Schedule"", ""Warehouse-Medford"", ""Staff-Remote"", ""Staff-Medford"", ""Forklift Maintenance Request?Medford"", ""warehouseEditor"", ""Store-Projects Cost of Quality RW"", ""Store-Production Medford"", ""Daily Report-Maintenance-Northpoint"", ""Forklift Training-Northpoint"", ""Staff-Northpoint"", ""SR WHSE Material Incident Report"", ""QA Frozen Hold-Northpoint"", ""Store-Projects Internal Audit SR"", ""manufacturingebsEditor"", ""manufacturingEditor"", ""Staff-Dutton"", ""Dutton Startup"", ""Disposals-Pocatello"", ""DachaProdTest""]"
Assistant Team Lead - Prep,x,x, , , ,"[""GoogleAppsEA"", ""manufacturingReader"", ""manufacturingebsReader"", ""Store-Production"", ""Store-Production Medford"", ""Store-Planning-Medford Delivery Schedule RW"", ""Store-Production Kitchen"", ""Daily Report-Maintenance-Medford"", ""Accident Reporting-Medford"", ""Kitchen-Medford"", ""Allergen Team"", ""Staff-Medford"", ""GoogleApps""]"
Assistant Team Lead - Prep (OR),x,x, , , ,[]
Assistant Team Lead - Prod/Pkg,x,x, , , ,"[""GoogleApps"", ""Store-Production Medford"", ""Staff-Medford"", ""Staff-Pocatello"", ""manufacturingReader"", ""manufacturingebsReader"", ""Store-Production"", ""Store-Production Manufacturing"", ""Store-Production Supervisors""]"
Assistant Team Lead - Sanitation,x,x, , , ,"[""GoogleAppsEA"", ""Store-Safety SR RW"", ""Store-Sanitation"", ""Staff-Northpoint""]"
Associate Art Director-Graphic Design,x,x, ,x, ,"[""GoogleApps_Customer_Marketing_Department"", ""Global Protect VPN User"", ""Marketing Consultants"", ""Smartsheet_Unlicensed"", ""Alfresco-Marketing"", ""Marketing and Sales-Petaluma"", ""Staff-Petaluma""]"
Associate Art Director-Packaging,x,x,x, , ,"[""GoogleApps_Customer_Marketing_Department"", ""Global Protect VPN User"", ""Alfresco-Marketing"", ""Concur Users"", ""Store-Projects Packaging Dev RW"", ""Store-Marketing"", ""Marketing Staff"", ""Marketing and Sales-Petaluma"", ""Staff-Petaluma""]"
